problem,vehicle,distance
rc2_10_7,18,25059.8731
rc1_6_7,55,16105.68
rc2_4_9,8,4551.111
rc2_4_8,8,4792.6948
rc1_8_5,72,29924.3597
rc2_6_4,11,7065.7173
r2_4_10,8,5786.4016
r1_4_7,36,7617.5485
rc2_8_10,15,14412.3833
rc2_8_2,16,18151.9514
rc2_6_3,11,9440.3922
r2_8_9,15,22307.0974
rc2_10_9,18,22971.1372
r2_8_5,15,24259.3252
rc2_8_4,15,11000.9913
rc2_10_8,18,23649.3902
rc2_8_3,15,14428.6537
r2_8_6,15,20437.364
rc2_6_9,11,9574.9864
r2_10_3,19,24927.9852
rc2_8_8,15,15759.1875
rc2_6_8,11,9994.2058
rc2_8_5,15,19095.8314
rc2_8_6,15,18143.042
r2_10_8,19,17464.5432
rc2_8_7,15,16818.9627
r2_8_10,15,20358.6072
rc2_10_10,18,21885.9098
rc2_10_4,18,15714.6343
rc2_6_10,11,9059.5118
r1_4_2,36,8907.1423
r1_4_5,36,9222.9978
r1_10_6,91,47503.9183
r1_10_9,91,49900.3587
c1_10_9,90,40682.31
r2_4_5,8,7129.03
c1_10_10,90,40031.17
c2_6_9,17,7921.1828
rc1_4_3,36,7533.0537
rc1_4_9,36,7733.813
rc1_8_10,72,28554.0006
rc1_10_10,90,43679.613
rc1_10_5,90,45313.3836
rc1_10_7,90,44604.3358
c1_8_7,77,26486.14
c1_10_8,92,43029.9748
c2_6_3,17,7520.6614
c1_8_2,72,26591.8693
c1_8_3,72,24249.3452
c1_8_3,72,24257.32
r1_4_10,36,8094.1009
c2_4_8,11,4301.7482
r1_10_1,100,53473.2629
r1_10_4,91,42729.13
rc1_4_7,36,7948.5102
rc1_4_6,36,8164.9778
rc1_4_2,36,7892.5242
rc1_4_10,36,7596.0439
r1_8_5,72,33723.7731
c1_8_4,72,23827.02
r2_6_2,11,14779.26
rc2_8_7,15,16843.96
c2_10_2,29,17126.3876
r2_10_4,19,17880.11
r2_10_6,19,30073.6
r2_8_10,15,20401.47
r2_8_8,15,12645.63
c2_2_10,6,1806.5751
rc2_2_3,4,2601.874
r2_4_10,8,5791.7904
rc2_4_1,11,6682.3749
r1_4_1,40,10372.3124
r2_8_6,15,20479.46
r2_6_6,11,12503.26
rc2_4_3,8,4930.8368
rc2_6_10,11,9069.41
c1_6_10,56,13637.3357
r2_6_3,11,11191.01
rc2_10_3,18,20043.04
rc2_10_4,18,15741.56
rc2_8_3,15,14442.4
rc2_6_7,11,10724.85
r2_10_3,19,24938.95
r2_10_7,19,23253.89
rc2_4_9,8,4551.805
c2_8_5,24,11425.2272
rc1_2_4,18,2851.6831
rc2_8_6,15,18146.0323
rc2_10_10,18,21910.33
rc2_8_8,15,15799.03
rc2_4_6,8,5766.6117
rc2_8_10,15,14439.14
rc2_8_2,16,18181.14
r2_8_7,15,16677.31
r1_2_4,18,3057.8108
c2_2_3,6,1775.0754
r1_8_1,80,36852.06
r2_8_2,15,22795.7852
r1_10_1,100,53501.39
r2_4_8,8,4015.5979
rc2_6_8,11,10007.82
r2_10_2,19,33459.32
r2_2_9,4,3092.0381
r2_6_8,11,7574.39
r1_2_8,18,2951.9901
r1_2_1,20,4784.106
r2_4_4,8,4241.468
r2_6_9,11,13377.5592
rc2_4_7,8,5336.58
rc2_2_6,4,2873.1176
rc1_2_9,18,3081.1269
rc2_2_4,4,2038.5574
rc2_6_9,11,9580.87
r2_8_4,15,13206.1
rc2_4_4,8,3631.0055
r2_8_9,15,22335.51
r2_4_1,8,9210.1524
rc2_10_5,18,27140.77
rc2_6_5,11,13000.84
rc1_4_7,36,7953.49
r1_10_3,91,44795.009
r2_10_8,19,17449.4334
r1_8_6,72,30957.1371
rc1_10_10,90,43597.9721
rc1_10_7,90,44480.2908
r2_6_2,11,14754.1295
r1_6_3,54,16917.3072
r1_10_7,91,44101.1758
rc1_10_6,90,44957.9428
rc1_10_5,90,45137.6655
rc1_10_9,90,43984.6163
rc1_10_8,90,44018.2847
rc2_6_6,11,11913.113
r1_8_2,72,32322.855
rc2_10_3,18,19913.4638
rc2_10_8,18,23600.8772
rc1_10_2,90,43792.0877
r1_10_5,91,50542.5223
rc1_10_3,90,42214.8426
r1_8_9,72,32319.0499
r1_6_2,54,18611.77
r1_10_9,91,49244.6367
rc2_10_7,18,25017.9664
rc1_10_6,90,45073.2744
rc1_10_8,90,44031.7452
r1_6_6,54,17864.5876
r1_6_4,54,15770.4967
rc2_10_6,18,26748.841
r1_4_2,36,8910.5372
r1_4_5,36,9225.9912
r1_4_3,36,7814.6083
c2_8_9,23,11592.523
c1_8_8,73,26684.0235
rc1_8_5,72,29943.7804
rc1_4_5,36,8172.643
r2_4_10,8,5791.7014
c1_10_7,97,44806.73
r2_8_6,15,20463.1837
rc2_10_5,18,27103.6976
r2_10_6,19,30060.0506
r2_10_7,19,23234.87
rc1_4_5,36,8178.1172
rc1_6_1,55,17014.1662
rc1_4_8,36,7772.5681
rc1_10_6,90,45110.0086
rc1_10_7,90,44686.61
rc1_10_3,90,42360.0
rc1_10_5,90,45344.7
rc1_10_2,90,43972.87
rc1_10_8,90,44075.6203
rc1_10_10,90,43771.95
rc1_10_9,90,44069.5657
rc1_10_1,90,46138.0068
rc1_10_4,90,41526.86
rc1_8_2,72,28801.8918
r1_10_5,91,50616.7288
r2_8_4,15,13196.745
rc1_6_7,55,16077.1157
r1_4_8,36,7257.2836
r1_8_6,72,30967.8578
c2_8_6,23,12381.0613
c2_6_3,17,7517.1407
rc1_8_1,72,31117.0384
rc1_8_10,72,28474.3506
c1_6_4,56,13558.5371
rc2_10_1,20,30276.7385
rc2_8_2,16,18170.1315
rc2_10_7,18,25059.7623
r2_8_8,15,12642.674
c2_4_7,12,3894.1579
r1_4_9,36,8717.26
rc1_4_1,36,8573.9647
c2_4_1,12,4116.1389
c2_6_1,18,7774.1558
rc2_2_10,4,2015.6123
rc1_4_3,36,7537.47
rc1_4_4,36,7308.5549
c1_2_10,18,2643.5534
c1_4_5,40,7152.0566
rc1_4_10,36,7601.2
rc1_4_5,36,8182.04
c1_4_1,40,7152.0566
c2_6_6,18,7471.1704
r1_4_6,36,8372.9052
c2_4_2,12,3930.0478
r2_2_4,4,1981.3048
r1_10_9,91,49659.488
r1_10_7,91,44187.5752
r1_10_4,91,42644.6603
r1_4_8,36,7263.07
r1_8_5,72,33553.7468
r2_6_4,11,8008.135
rc1_10_1,90,45924.196
r2_8_7,15,16598.5202
r1_10_4,91,42528.1856
r1_8_10,72,30983.2381
rc2_8_5,15,19074.9101
rc1_10_7,90,44467.373
rc1_8_7,72,29068.6988
rc2_6_10,11,9059.1729
r1_10_2,91,48509.2603
rc1_10_9,90,43958.4251
rc1_8_9,72,28629.3379
c1_8_2,72,26540.5292
r1_10_5,91,50518.1057
rc2_10_5,18,27074.6006
r1_10_10,91,47481.9443
r2_8_6,15,20416.9192
rc2_10_4,18,15693.2788
rc1_8_6,72,29553.1865
c1_10_4,90,39468.5974
r2_10_7,19,23240.5618
r1_8_6,72,30994.6938
r1_8_7,72,28898.8946
r1_8_8,72,27687.828
c1_10_10,90,39857.0132
r1_10_3,91,45098.0934
r1_10_6,91,47474.3543
c1_10_7,97,43395.8804
c2_8_2,23,12285.3147
r1_6_1,59,21402.5261
rc1_8_3,72,27677.0955
r2_4_10,8,5779.0301
rc2_10_6,18,26741.4417
rc2_8_7,15,16817.4592
rc2_8_3,15,14427.3928
r2_10_9,19,32996.2375
rc2_6_4,11,7073.6
r2_8_9,15,22300.8644
rc2_10_9,18,22968.5058
rc2_10_6,18,26741.2658
rc2_6_8,11,9994.0971
rc2_6_10,11,9059.3896
rc2_6_7,11,10721.0578
rc2_10_4,18,15714.6166
rc2_10_7,18,25058.0453
rc2_10_5,18,27103.237
r2_10_8,19,17464.4983
rc2_6_4,11,7064.8919
rc1_4_9,36,8317.05
rc2_8_8,15,16947.24
rc2_10_7,18,27954.23
rc2_2_6,4,3138.02
r1_4_9,36,9078.99
r2_6_8,11,8473.53
r1_6_4,54,16854.8
rc1_4_10,36,7899.18
r1_10_10,91,59813.39
rc2_8_9,15,16811.0
r1_4_5,36,9722.66
c1_2_5,20,2702.0488
rc2_10_5,18,29560.06
rc1_8_3,72,35577.87
c1_6_2,56,14332.05
rc2_8_2,17,18672.43
r2_8_4,15,14423.95
rc1_8_2,72,39696.2
c1_2_1,20,2704.5678
c1_4_3,36,7291.45
r1_10_3,91,50610.36
rc1_6_10,55,16791.6
rc2_4_3,8,5298.85
rc1_4_1,36,9432.62
rc1_4_4,36,7711.69
rc2_4_2,10,5945.68
rc1_10_7,90,50995.0
r2_8_3,15,19146.48
r1_8_4,72,29481.7
r1_6_2,54,21720.35
rc1_6_8,55,17364.5
rc2_6_10,11,9927.76
r2_2_3,4,2972.04
r1_10_9,91,61862.4
rc1_10_5,90,52780.36
r1_8_7,72,30737.79
r2_4_1,8,9403.89
rc2_10_3,18,22680.56
c2_4_2,12,3934.73
c2_10_8,29,18662.1
r2_8_10,15,21977.85
r2_2_4,4,2020.95
c1_6_8,57,14976.88
c2_8_2,24,11449.65
c2_4_4,12,3831.58
r2_4_2,8,7811.05
c2_6_7,18,7761.43
rc1_8_6,73,31579.5
c2_8_7,24,11791.88
rc1_4_7,36,8572.14
rc2_2_10,4,2034.94
r2_8_1,15,29383.35
c2_10_7,31,17662.34
c2_2_9,6,1834.0
rc2_8_10,15,15792.31
c2_4_1,12,4116.14
rc1_6_3,55,16008.7
rc1_10_9,90,48188.24
c1_8_6,80,25160.9
r2_2_8,4,1851.65
c1_4_9,36,8200.65
rc1_6_6,55,17812.9
r1_6_3,54,18812.8
r1_2_6,18,3634.81
r1_4_8,36,7517.22
r2_6_9,11,14416.87
r1_10_5,91,70838.01
c2_6_4,17,7668.05
c2_6_8,18,7483.18
c2_8_3,23,12374.07
c2_2_7,6,1849.4563
rc1_10_6,90,51296.2
r2_2_2,4,3691.67
r1_10_8,91,46554.8
c2_2_10,6,1808.72
c2_8_6,24,11418.93
c2_6_10,17,8024.43
c2_8_9,24,11736.54
c1_4_2,37,7435.84
r2_6_3,11,12216.49
r1_10_6,91,54952.03
c1_4_1,40,7152.06
r2_10_10,19,32622.36
c2_2_1,6,1931.4425
rc2_4_8,8,5093.18
rc1_8_7,72,43829.43
r2_10_6,19,32167.55
c1_4_8,38,7282.85
r1_2_9,18,3874.04
rc2_2_3,4,2637.41
r1_2_8,18,2999.35
r2_4_6,8,6383.54
r2_6_10,11,13105.21
r2_6_6,11,13164.53
c1_10_6,100,42471.3
c1_4_10,36,7168.62
c2_8_4,23,11938.45
rc2_2_9,4,2210.41
r1_8_5,72,36139.4
r2_6_2,11,15412.26
r1_10_1,100,54724.64
c1_10_2,92,42920.7
c2_6_9,18,7380.21
c1_2_6,20,2701.0354
c2_2_2,6,1863.1556
rc1_2_2,18,3382.34
rc1_8_5,73,31484.0
r2_8_5,15,25645.41
rc2_4_9,8,4745.35
rc2_6_9,11,10598.17
r2_2_1,4,4502.17
c1_4_7,39,8043.18
c1_10_8,96,42564.8
r2_8_9,15,23797.45
rc2_6_4,11,8016.95
rc1_2_10,18,3083.21
r2_4_10,8,6094.22
rc1_2_8,18,3151.62
r2_10_5,19,37681.39
r1_8_6,72,32975.7
r1_8_10,72,33443.48
r1_6_8,54,16488.1
rc2_8_4,15,12314.59
c1_10_7,99,42711.39
rc2_10_2,19,28071.59
c2_4_5,12,3941.05
r2_6_1,11,18833.86
c1_2_9,18,2716.42
rc2_8_5,16,19639.76
r2_8_8,15,14030.42
rc2_6_6,12,12250.82
c2_6_6,18,7500.99
r1_10_4,91,47060.67
c2_8_10,23,12236.32
rc2_6_3,11,10466.72
rc1_6_7,55,17444.3
r2_10_3,19,27165.3
c2_4_9,12,3924.39
c2_6_5,18,7578.67
r2_4_7,8,5378.69
r1_6_1,59,21875.04
c1_8_10,72,29536.81
rc1_6_2,55,16963.2
r1_2_2,18,4089.57
c1_2_7,20,2701.0354
rc2_10_1,22,31457.37
rc2_2_4,4,2084.89
r1_4_1,40,11084.0
r2_8_7,15,18030.14
c2_10_5,30,16586.46
c2_6_1,18,7776.16
rc2_4_10,8,4418.64
rc1_10_4,90,44072.32
c1_4_5,40,7152.06
c2_4_10,12,3729.84
rc1_2_4,18,2939.02
r1_4_7,36,8026.8
c2_2_4,6,1742.0
r2_4_3,8,6230.11
r1_4_2,36,9308.53
r1_2_10,18,3349.06
c2_10_3,29,17807.78
rc1_4_3,36,7800.79
c2_4_8,12,3803.17
c1_8_2,75,25518.17
rc2_10_6,18,29044.12
c1_10_1,100,42478.9516
c1_2_8,19,2781.09
r2_6_7,11,10697.64
c2_2_3,6,1777.57
r1_10_2,91,56367.45
c1_6_3,56,14305.27
c2_8_1,24,11677.72
rc1_2_9,18,3181.94
c1_8_5,80,25166.3
r2_10_8,19,19431.42
r1_8_8,72,29129.52
r1_6_9,54,20878.39
r1_4_6,36,8594.27
r2_4_5,8,7416.89
c1_10_5,100,42469.2
rc2_8_3,15,15711.84
rc2_2_7,4,2550.58
rc2_4_1,11,7019.89
c2_2_5,6,1878.8463
rc2_6_8,11,11108.08
r1_4_3,36,8119.22
rc1_8_10,72,41182.44
rc2_6_2,12,12071.4
r2_10_1,19,43975.28
r2_2_7,4,2532.95
rc2_8_1,20,20869.21
rc1_8_8,72,43694.6
rc1_10_10,90,47469.1
r1_2_1,20,5024.65
r2_10_2,19,35901.41
rc2_6_5,13,12304.05
c1_6_9,56,14180.6
rc1_8_4,72,32654.1
c1_4_4,36,6952.89
r1_10_7,91,50040.5
rc2_6_1,15,13275.93
c1_8_3,72,25438.6
r1_2_7,18,3175.75
rc1_4_8,36,8295.64
rc1_10_3,90,45461.02
rc2_4_5,9,6292.63
r2_2_10,4,2709.33
rc2_10_4,18,17971.2
rc2_8_7,15,18070.18
c1_6_5,60,14085.7202
rc2_8_6,15,19807.15
c2_10_2,29,18312.76
c2_10_10,29,16555.24
c1_2_2,18,2917.892
r1_8_3,72,31534.8
c1_8_7,79,25518.85
rc1_6_1,55,19610.49
r2_8_2,15,23942.54
c1_2_4,18,2651.98
r2_6_5,11,15861.48
r1_6_6,54,20291.1
rc1_10_2,90,48146.09
r2_4_8,8,4287.17
rc1_2_3,18,3066.08
c1_10_9,91,45386.93
r1_2_5,18,4173.93
r1_4_10,36,8554.75
r1_2_4,18,3096.91
r1_8_2,72,34610.9
c2_2_6,6,1857.3535
c2_10_6,30,16473.14
r1_6_5,54,25901.77
rc1_4_2,36,8294.59
c1_6_1,60,14095.6438
rc1_10_1,90,51529.12
rc1_6_9,55,16815.9
c1_8_1,80,25184.3826
rc1_6_5,55,18021.0
rc2_10_10,18,24374.95
rc2_4_7,8,5727.01
c2_6_3,17,8371.07
rc2_2_2,5,2873.11
rc1_8_9,72,41816.7
c1_6_6,60,14089.7
r1_8_1,80,39612.2
c2_10_1,30,16879.2419
c1_10_4,90,41052.19
r2_2_6,4,2959.14
c2_4_3,12,3844.14
rc1_2_6,18,3465.55
c1_10_3,90,42571.6
r2_10_9,19,35197.73
r2_6_4,11,8896.13
rc2_2_5,4,3087.98
c2_8_5,24,11454.85
c1_6_10,56,14552.2
c2_2_8,6,1822.65
rc1_2_1,18,3748.24
r1_8_9,72,34824.7
rc1_6_4,55,15455.0
c1_8_4,72,25076.7
c1_4_6,40,7153.4548
c1_8_8,76,25437.0
rc2_10_9,18,25289.27
c1_8_9,73,25655.6
r2_10_4,19,20049.26
r2_10_7,19,25339.69
c2_10_9,30,16984.6
c1_6_4,56,13929.65
r2_2_5,4,3415.44
rc2_4_6,8,6054.21
rc1_4_6,36,8705.25
c1_6_7,59,14659.74
c2_10_4,29,17447.09
rc1_10_8,90,48380.5
rc1_2_5,18,3489.6
c2_4_6,12,3877.65
r2_2_9,4,3115.6
c1_10_10,90,47277.0
r2_8_6,15,21720.99
c1_2_3,18,2719.62
rc2_10_8,18,26158.82
rc1_4_5,36,8805.42
c2_8_8,24,11413.35
rc1_8_1,73,32003.5
rc1_2_7,18,3292.33
r1_6_7,54,18570.23
r2_4_4,8,4515.45
c1_2_10,18,2670.63
r2_4_9,8,6711.32
c2_4_7,12,3910.61
r1_2_3,18,3446.2
rc2_6_7,11,11849.83
rc2_4_4,8,3769.8
r1_4_4,36,7633.72
rc2_2_1,6,3136.85
rc2_2_8,4,2341.34
c2_6_2,18,7512.35
r1_6_10,54,19894.14
rc1_6_8,55,16133.27
r1_6_5,54,20015.83
rc1_10_6,90,45607.84
r1_4_8,36,7288.95
r1_10_9,91,50827.53
r1_6_8,54,15716.15
r1_10_4,91,42787.19
rc1_6_5,55,16703.76
rc1_4_4,36,7320.34
rc1_10_8,90,44617.34
r1_10_8,91,42485.38
r1_8_8,72,27872.1
r1_6_6,54,18146.79
rc1_10_3,90,42523.22
r1_10_10,91,48294.71
rc1_4_8,36,7773.1139
r1_4_3,36,7826.71
r1_4_6,36,8373.71
rc1_4_1,36,8609.59
r1_10_3,91,45276.38
r1_8_7,72,29136.58
rc1_6_2,55,16086.48
r1_6_9,54,18978.8
r1_4_10,36,8119.88
r1_4_7,36,7645.88
r1_10_6,91,47923.43
rc1_10_2,90,44511.69
r1_10_5,91,51830.36
r1_10_2,91,49224.52
rc1_10_7,90,45332.96
rc1_10_4,90,41700.7
r1_10_7,91,44435.5
rc1_6_4,55,14862.65
r1_6_3,54,17116.66
r1_4_9,36,8742.41
r1_6_4,54,15866.88
r1_8_10,72,31344.5
r1_6_7,54,16684.46
r1_4_3,36,7816.6648
r1_4_7,36,7616.1532
r1_4_6,36,8358.6859
c2_8_9,23,11593.6089
c1_10_8,93,42149.58
c1_10_3,90,40101.3564
rc2_10_7,18,25031.8318
rc2_6_5,11,12919.64
rc1_8_3,72,27588.4119
r1_8_4,72,27795.7939
r1_6_10,54,17621.89
r1_8_10,72,30984.437
rc2_10_1,20,30276.271
c2_6_3,17,7506.62
r2_6_4,11,8010.3322
rc1_8_9,72,28643.588
rc1_6_1,55,16983.2106
r1_8_8,72,27674.502
r1_8_1,80,36769.5051
rc1_10_1,90,45933.1007
rc1_10_3,90,42242.0339
r1_8_7,72,28862.4933
rc1_10_10,90,43598.452
rc2_10_3,18,19914.3124
r1_6_3,54,16920.5139
r1_6_2,54,18617.0247
rc1_8_2,72,28571.3825
c2_10_4,28,15607.478
c1_8_8,73,26121.6403
r1_6_7,54,16531.5998
rc1_10_5,90,45137.9845
rc2_6_3,11,9438.5203
r1_10_6,91,47055.3864
c2_6_2,17,8258.1965
rc1_8_7,72,29083.7109
r2_10_8,19,17453.1526
rc1_10_7,90,44569.7024
rc1_8_5,72,29670.2629
r1_10_7,91,44113.583
c2_8_4,22,11007.8287
rc1_8_1,72,30658.0865
r1_10_8,91,42362.5613
rc1_10_9,90,43992.3827
r1_10_9,91,49334.5823
r1_10_10,91,47492.3313
r1_6_4,54,15752.4161
r1_6_5,54,19400.904
rc1_10_6,90,44987.2664
r2_10_6,19,29998.4426
r1_8_2,72,32332.0112
rc1_8_4,72,26686.9731
r1_8_9,72,32336.1569
r1_10_4,91,42529.2754
r1_10_3,91,44815.0139
r1_8_6,72,30958.8334
c2_10_3,28,16829.4747
rc2_10_9,18,22945.5575
r1_6_9,54,18554.5513
rc1_10_8,90,44021.5604
r2_6_2,11,14760.2521
rc2_10_8,18,23609.7423
r1_8_5,72,33567.7699
rc1_10_2,90,43832.0315
rc1_8_6,72,29555.3766
r1_6_6,54,17802.7302
c1_10_7,97,43372.0314
r1_10_2,91,48511.2069
c1_8_6,79,26911.9422
rc2_10_4,18,15693.759
rc1_10_4,90,41436.9712
r1_10_5,91,50547.1087
rc2_6_4,11,7057.9401
r1_6_1,59,21397.5202
c1_8_9,72,24300.2069
r2_6_4,11,8018.5862
rc2_8_7,15,16841.1231
rc1_6_10,55,15719.46
r2_10_4,19,17853.7723
rc1_10_2,90,43788.7497
rc1_10_7,90,44468.8843
r2_8_6,15,20421.7267
rc1_8_5,72,29609.5805
r1_6_8,54,15618.2484
rc1_8_1,72,30651.9589
r1_10_4,91,42528.893
r1_10_9,91,49240.7785
r1_8_8,72,27671.2105
r1_10_3,91,44792.3322
r1_6_5,54,19400.8595
r2_6_4,11,8010.1289
rc1_10_3,90,42205.0359
rc1_10_5,90,45135.6623
rc1_8_9,72,28629.6535
r1_10_7,91,44098.7973
rc1_10_4,90,41429.2538
rc1_8_7,72,29069.7875
r2_10_6,19,29998.3776
r1_10_5,91,50523.4219
rc1_10_6,90,44956.5937
rc1_10_9,90,43960.0143
rc1_10_4,90,41397.8107
c1_10_9,90,40323.9946
rc1_10_7,90,44457.7866
c1_10_8,92,42652.6498
r1_10_1,100,53412.1129
r1_10_7,91,44040.9154
r2_2_8,4,1849.8692
c2_4_6,12,3875.9387
c1_10_9,90,40353.5153
rc1_10_4,90,41507.2691
rc1_10_2,90,43971.1292
rc1_10_3,90,42347.8256
r2_6_2,11,14772.3753
rc1_6_4,55,14777.1897
c2_4_10,11,3825.6735
rc2_10_4,18,15733.251
c1_2_9,18,2687.8273
rc2_8_9,15,15352.8215
r2_8_7,15,16631.7695
rc1_8_10,72,28609.8126
rc1_6_7,55,16105.3601
rc1_8_4,72,26774.9271
r2_4_5,8,7128.9257
c1_10_9,90,40546.6
r1_4_3,36,7819.0897
c1_6_6,59,15905.66
c1_10_10,90,39923.41
rc2_10_3,18,19911.483
rc2_10_7,18,24999.6553
r1_8_10,72,30952.7654
rc1_8_4,72,26663.4533
rc1_10_10,90,43573.9524
r1_10_10,91,47409.8285
rc1_10_8,90,43956.9138
c1_10_8,92,42629.9122
rc1_6_4,55,14811.21
r1_6_5,54,19443.5612
r1_10_10,91,47623.0444
r1_8_2,72,32485.8126
rc2_10_5,18,27104.7965
r1_10_9,91,49998.0
r1_10_6,91,47636.1
r1_10_2,91,49085.3
r1_10_5,91,51138.27
r1_10_10,91,48131.27
r1_10_3,91,45151.68
c1_10_5,100,42469.1758
c2_2_8,6,1820.5343
c1_8_5,80,25166.2784
c2_2_9,6,1830.05
c1_4_4,36,6816.17
rc1_8_1,72,30907.2653
rc2_10_10,18,21886.4638
r1_10_3,91,44935.7999
r1_10_6,91,47374.1526
r1_10_10,91,47452.5786
r1_8_2,72,32528.1692
r1_4_7,36,7619.0447
rc2_10_8,18,23709.2884
r2_10_5,19,36232.1793
r2_10_8,19,17495.5148
r2_10_10,19,30215.2386
rc2_10_7,18,25112.7718
c1_10_2,90,42278.45
c2_10_9,29,16370.4366
rc2_10_6,18,26797.7559
r2_10_1,19,42188.8581
r2_10_9,19,33002.361
rc2_10_9,18,23061.901
r1_8_10,72,31031.2729
rc1_6_1,55,17031.33
rc1_6_3,55,15236.75
r1_8_8,72,27706.0916
r1_4_3,36,7808.3404
c2_8_2,23,12286.0544
r1_8_1,80,36844.7839
r1_4_2,36,8910.0927
r1_6_6,54,17871.2852
r1_6_10,54,17748.8335
r1_6_4,54,15772.6426
r1_6_5,54,19588.8906
r1_6_8,54,15636.7529
r1_6_9,54,18669.7511
r1_6_7,54,16555.9231
r1_6_3,54,16956.433
